index,Year,Country,Spending (2020 USD),Percent of GDP,Percent of Government Spending,Spending per Capita
38,1992,Albania,157.89419592858104,0.046708878237371,,9.722630154577296
39,1993,Albania,144.52599186237558,0.0319945106674964,,12.297290587951252
40,1994,Albania,138.14906251279206,0.0254781906037647,,15.776773095538797
41,1995,Albania,128.73406039832486,0.0205358735905793,,16.35320326945895
42,1996,Albania,115.60500761750484,0.0137902962734156,,14.7510022938596
43,1997,Albania,80.71607855078437,0.0128308078036268,0.0442469942524728,9.621126451534929
44,1998,Albania,76.31866840798509,0.0123824256064749,0.0358251376938142,10.812615699069118
45,1999,Albania,88.38547113570394,0.0124921009885957,0.0357882714586864,13.699713484829374
46,2000,Albania,97.75875631815848,0.0124636024189215,0.0384384065661925,14.497444356750362
47,2001,Albania,111.08712118737068,0.0130929137475594,0.0414741288966839,17.007043182592696
48,2002,Albania,110.93175245256256,0.0132003449433204,0.0426975280105133,18.761789028338587
49,2003,Albania,124.62016011027812,0.0133684292419802,0.0461292952593064,24.420423912978084
50,2004,Albania,136.20477517396972,0.0138115794211088,0.0466321103763279,32.50317501948254
51,2005,Albania,141.09866863702177,0.0135000497056322,0.0473437520175261,35.67892863165975
52,2006,Albania,173.30692448339295,0.0156776908873067,0.0542898862467715,46.028044616361726
53,2007,Albania,214.48172737631725,0.018207653435572,0.0622608105672698,64.21895492447025
54,2008,Albania,252.62170143541508,0.0198486885667765,0.0625619786501779,85.14084509440588
55,2009,Albania,199.9441518307344,0.015172171395597,0.0464272721436367,61.465476790371945
56,2010,Albania,214.8149098830544,0.0155859189302348,0.0530374152460951,63.057409089238085
57,2011,Albania,213.64131398561324,0.0152826633776626,0.0528386450211732,67.26076791954073
58,2012,Albania,208.77708523337776,0.0148708257655216,0.0526790009594913,62.8705201304776
59,2013,Albania,196.58476766278088,0.0140898210141145,0.0482648553602102,61.98881157743341
60,2014,Albania,191.06009193541595,0.0134651599128913,0.0424378498276555,61.505651943288335
61,2015,Albania,166.3769677184356,0.0116230386432233,0.0377889251316412,45.78023783840685
62,2016,Albania,160.1329910236827,0.0110358100880451,0.0378723434007732,45.34066618859468
63,2017,Albania,166.18325915015103,0.0110869638590383,0.0380518109954003,50.06334560330609
64,2018,Albania,179.88864316684067,0.0116054478505068,0.0402942680104453,61.0082166409553
65,2019,Albania,204.54210805260809,0.0129967633671402,0.0445765862935157,69.45888104058255
66,2020,Albania,187.43323387482965,0.0125826801032011,0.0379523306941548,65.12621051939877
67,2021,Albania,221.34564094464608,0.0141563592653159,0.0418588825092417,82.29090013706657
68,1988,Algeria,617.9077385454971,0.0174969874927024,,42.082044973871234
69,1989,Algeria,603.9636126462906,0.0154012377856337,,34.027760107191035
70,1990,Algeria,645.1912141496741,0.0146107058594341,0.0568261540620176,35.10497904250325
71,1991,Algeria,660.5148708748311,0.0121083405924607,0.0435629929474606,21.40522964270183
72,1992,Algeria,1105.2638490220893,0.0214013212989671,0.0745002008266283,38.97075783234444
73,1993,Algeria,1188.4145531740037,0.0250563157717782,0.0763411561037072,46.20462741082586
74,1994,Algeria,1445.7785438255094,0.0314643001210165,0.101321728964375,47.31380334850078
75,1995,Algeria,1400.7923053576474,0.0293502710736711,0.0998956008046376,42.932581945402085
76,1996,Algeria,1594.9466985256256,0.030940883958553,0.1097405635315045,49.628613672735405
77,1997,Algeria,1918.339155468535,0.0363740346813324,0.119647986975802,58.91790597946434
78,1998,Algeria,2028.8879459790485,0.0396567378793071,0.1281751754803657,63.29155938361205
79,1999,Algeria,2141.2252147796976,0.0375507998270644,0.117562263129399,59.644599483300894
80,2000,Algeria,2484.6124195251323,0.0343338563505363,0.1201709160850913,60.600594327667366
81,2001,Algeria,2719.4367601305657,0.0382069546333073,0.1222570604105287,66.5022025465248
82,2002,Algeria,2778.946721712988,0.0370082935899902,0.1079421092886448,65.94263132234263
83,2003,Algeria,2719.054794284201,0.0325121089347183,0.1009628971817845,68.38568565584333
84,2004,Algeria,3092.777620054517,0.032838845233139,0.1067413621853408,85.71591808796055
85,2005,Algeria,3237.7833241476314,0.0283417835011465,0.1045512375213668,88.22986928980752
86,2006,Algeria,3318.892470818846,0.026438075477202,0.0916289103934995,91.9704600151207
87,2007,Algeria,3893.966293944335,0.0292332102697668,0.0879552617297541,115.48614527082582
88,2008,Algeria,4537.007636478407,0.0302474714090386,0.0797041124052176,148.92565451729763
89,2009,Algeria,4927.662734347289,0.0384851369829344,0.0903416923868918,149.4477884174524
90,2010,Algeria,5214.964355812809,0.0351801260882617,0.0944418326639713,157.63707694657754
91,2011,Algeria,7463.483608239368,0.0432570635861069,0.1078104657175818,236.0065748343614
92,2012,Algeria,7853.772370690127,0.0446107862007699,0.1024518667932905,249.472692703732
93,2013,Algeria,8483.351502180505,0.0484450891704058,0.1338797247271017,266.4286376284236
94,2014,Algeria,9770.025746718144,0.0554848333584853,0.1366434483471366,249.82992426069407
95,2015,Algeria,10221.27855699152,0.0627024285623507,0.1368705193127099,262.100130962958
96,2016,Algeria,10251.786414749453,0.0638492898301865,0.1532439766308818,251.95634385266223
97,2017,Algeria,9708.947884900346,0.0592438332688534,0.1535567507892066,243.3826384136206
98,2018,Algeria,9311.353981948889,0.0546782435628871,0.14463099790871,226.95188709790423
99,2019,Algeria,10045.3720508167,0.0602104599353676,0.1588871184529303,239.32363773048684
100,2020,Algeria,9708.277440227255,0.0665999372695062,0.173924266543925,221.39238421534867
101,2021,Algeria,9115.809225492088,0.0559258407076549,0.1523946779318134,204.2374230752615
102,1988,Angola,167.9173083645744,0.2198049999999999,,132.7595753655341
103,1989,Angola,215.4932486139752,0.1943233333333333,,170.10557797307112
104,1990,Angola,187.6099490712312,0.1746366666666666,,147.80158271004893
105,1991,Angola,112.25931599178176,0.071025,,84.19036558447851
106,1992,Angola,98.1938530222924,0.0568283054258138,,62.743052947906754
107,1993,Angola,1572.3568385055044,0.1752258907557409,,135.7092066407205
108,1994,Angola,,0.0570928069083604,,44.06036572085655
109,1995,Angola,736.9599260116371,0.0470739276826233,,16.769000709164587
110,1996,Angola,552.0615464838585,0.0244784815671705,0.060329203539823,11.092419517269535
111,1997,Angola,884.8057956114451,0.0597226820719496,0.1387546419098143,30.714125539685067
112,1998,Angola,272.9101306274517,0.0264201188106297,0.0623386766076421,11.085826339106912
113,1999,Angola,3487.787373930343,0.1733469221361597,0.2737551733652166,67.22057031781985
114,2000,Angola,1615.6199860104607,0.0639260315427404,0.1288332160759827,35.5975195851738
115,2001,Angola,973.5335878377526,0.0452435381521461,0.1078863067226382,23.858086863605628
116,2002,Angola,997.9224527620788,0.0286993244512575,0.0919173249002421,25.040598516538143
117,2003,Angola,1317.8364194130197,0.0376147907354733,0.1093456471998495,36.9748448999776
118,2004,Angola,1254.3695724072045,0.0347118018672779,0.1164700144440901,43.583195551342506
119,2005,Angola,1777.212194365536,0.036922409469853,0.139189386804869,70.24057830042405
120,2006,Angola,2087.586393112376,0.0376149530543532,0.1229088611583937,97.78209008356131
121,2007,Angola,1830.9663453836413,0.0311405449295742,0.0816725533071883,97.22233357734048
122,2008,Angola,2478.620406568125,0.035731203644916,0.0678449029078346,145.81448872644822
123,2009,Angola,2411.632052175065,0.047096100483205,0.1046415878913089,147.07263237439884
124,2010,Angola,2580.581902193436,0.0417758456553983,0.1060449053501848,149.88845848803257
125,2011,Angola,2416.2791813558933,0.0325566035129376,0.0870454255544236,150.26201946842
126,2012,Angola,2535.918901120007,0.0323665949921659,0.0869862287926,165.07228180136033
127,2013,Angola,3463.630000834355,0.0445523942155109,0.1202507254493735,234.1156097020619
128,2014,Angola,3696.1166143917776,0.0469845451564414,0.128877429712969,254.11065671963928
129,2015,Angola,2179.7659707937564,0.031054262930828,0.1147984952730841,129.40392750741415
130,2016,Angola,1741.5089961438432,0.0273334065530719,0.1239996008820069,95.83437130433964
131,2017,Angola,1506.739450371329,0.0250798545587521,0.1041407727904194,102.722370258034
132,2018,Angola,1242.2862355528407,0.0187177586619642,0.0950392169689592,64.38214047390113
133,2019,Angola,1135.1215335924142,0.0164374028332038,0.0852361744119801,46.219598343677625
134,2020,Angola,993.5944046258786,0.0144416308184269,0.0746236441698327,30.23168029653376
135,2021,Angola,864.8099084907627,0.0113205982131155,0.0677582009681348,28.92234961607236
136,1988,Argentina,6041.221824229044,0.0212493922313662,,85.14135774664888
137,1989,Argentina,4910.671432141401,0.0188036559239222,,44.82151891880457
138,1990,Argentina,3334.879355565923,0.0145090921225786,,62.8746322441304
139,1991,Argentina,3346.273544890565,0.0150692655529635,,86.42277100577967
140,1992,Argentina,3168.6089206978168,0.0142122223348776,,97.06389071203368
141,1993,Argentina,2989.9105364884786,0.0142280290057292,0.0577980075575403,99.16250963133923
142,1994,Argentina,3199.2434635550985,0.0145703853325046,0.0568143952015994,109.1394554803184
143,1995,Argentina,3136.011828907203,0.014730731072115,0.0576284549024364,109.16361799764286
144,1996,Argentina,2782.675064271095,0.0124122726437626,0.0489338277900104,95.87297196179456
145,1997,Argentina,2736.1240320420766,0.0114013911131295,0.0451496876436704,93.68904661546354
146,1998,Argentina,2758.283605225992,0.0113631802186333,0.0439388451986755,94.24338933740502
147,1999,Argentina,2842.5890643583293,0.0122035954754993,0.0428520119391154,94.92776662277448
148,2000,Argentina,2707.7357376516666,0.0114882267666887,0.0406980367715799,88.59627665803285
149,2001,Argentina,2667.3518710109706,0.0118423354187058,0.0400710246949338,85.40593936843946
150,2002,Argentina,2273.0738141679703,0.0109188047859747,0.0446885679494062,29.56776399634742
151,2003,Argentina,2341.284240974575,0.0106089505704838,0.0430795156255063,36.09729401193764
152,2004,Argentina,2409.2552917829184,0.0088329535883352,0.0383548156104547,38.080878838360185
153,2005,Argentina,2530.699779300133,0.0084715478388596,0.0346831777802766,43.69884431206312
154,2006,Argentina,2609.431626307281,0.0078823387746146,0.0296142744686434,47.02349528733705
155,2007,Argentina,2822.705998752353,0.0079254817503136,0.0268200390095939,57.86836613969888
156,2008,Argentina,2804.770957484927,0.0076275647539046,0.0247951410684898,69.58533444535286
157,2009,Argentina,3022.8108336095543,0.0088650857668638,0.0256776861997813,73.65690018264024
158,2010,Argentina,2991.12107913217,0.0081487810549793,0.0244282162946178,84.98015472084045
159,2011,Argentina,2948.23381404793,0.0076428709403674,0.0218981461392913,98.0622000138104
160,2012,Argentina,2911.8534741113617,0.0078482472101978,0.021314359781616,109.28554325882747
161,2013,Argentina,3262.6160478233387,0.0083773643015943,0.0222784898599115,121.76448717816608
162,2014,Argentina,3375.311101301202,0.0087810091936403,0.0226006388591143,116.78415320742542
163,2015,Argentina,3342.6689381340966,0.0085012858318676,0.0205512180882872,127.28071273276689
164,2016,Argentina,3252.0364149747907,0.0081314007792887,0.0194895474840026,103.65099889795763
165,2017,Argentina,3579.66207134584,0.0085613791637354,0.0206158761632168,124.26072950938875
166,2018,Argentina,3185.1726863466524,0.0074549885495304,0.0188014181470374,86.62682007433558
167,2019,Argentina,2897.9149659863947,0.0070618667051613,0.0183507314813373,69.95500158700013
168,2020,Argentina,2830.92970521542,0.0072685565239667,0.0172682951709817,62.636731242043965
169,2021,Argentina,2406.6776135741648,0.0056531800055881,,56.82679877535747
170,1988,Armenia,,,,
171,1989,Armenia,,,,
172,1990,Armenia,,,,
173,1991,Armenia,,,,
174,1992,Armenia,141.32004037598918,0.0220338983050847,,
175,1993,Armenia,52.12134437319232,0.0229664433319048,,2.922915214394198
176,1994,Armenia,,,,
177,1995,Armenia,128.80522461089222,0.0405931190833614,,16.23518303295697
178,1996,Armenia,111.09013023059067,0.0328186700423013,,16.543645375089604
179,1997,Armenia,141.25630612487626,0.0390939855980585,,20.447533096237965
180,1998,Armenia,139.33480003908593,0.0352809600318196,,21.472361870971746
181,1999,Armenia,149.94792544348783,0.0369737423084245,,22.089397399145543
182,2000,Armenia,151.99775506738567,0.0356002487253697,,22.16682151968816
183,2001,Armenia,147.58946001134663,0.0312724938530975,,21.71341411330868
184,2002,Armenia,145.97383469230763,0.0269771474886414,,21.129336075268377
185,2003,Armenia,168.10355823114585,0.0272837221377968,,25.377070539192182
186,2004,Armenia,185.490546102174,0.0274199670493715,,32.67926964296608
187,2005,Armenia,226.93588515337947,0.0287193136291811,0.1445280859800083,47.21170837878467
188,2006,Armenia,268.08306707821566,0.0294761315625863,0.1473773176470588,63.62039095034225
189,2007,Armenia,314.24014622945475,0.0304257470127966,0.1357100468940981,95.5024508502968
190,2008,Armenia,364.7103257129333,0.0339557936270657,0.1527066029769482,136.17412841893076
191,2009,Armenia,380.168249619262,0.0415704990783508,0.1455881549655482,124.48038209384816
192,2010,Armenia,397.17934414063967,0.042656460559377,0.1628077049077257,137.29979415635333
193,2011,Armenia,363.95492875685767,0.0385394644115574,0.1543779290455287,135.86076951761936
194,2012,Armenia,372.6697031733665,0.0358376691873744,0.1598840553037797,131.95966674620954
195,2013,Armenia,419.54958374857273,0.0399724455730483,0.1679748286813561,153.39953743999513
196,2014,Armenia,425.99742706747634,0.0394337826474581,0.1643710150532362,157.2139497909866
197,2015,Armenia,461.1407785343488,0.0423922578573229,0.1609987432503356,152.8980886899586
198,2016,Armenia,453.39727577792513,0.0409034921699325,0.1512266232401764,146.93331696241762
199,2017,Armenia,464.09617011545856,0.0384973057654683,0.147914763511624,150.6317193008471
200,2018,Armenia,523.8539263847546,0.0411988615256895,0.171306690770329,173.86586262952838
201,2019,Armenia,652.5956560217645,0.0478770584078563,0.1922596577836394,220.41926126574825
202,2020,Armenia,633.9604001152595,0.0498273595939967,0.1625717086085165,213.9589605518932
203,2021,Armenia,600.8160227151791,0.0444012109130005,0.1631531170417304,208.70467375676984
204,1988,Australia,11989.25411228684,0.0216181488266293,0.0704351515722973,354.7500527722759
205,1989,Australia,11888.249422222629,0.020518275094775,0.0691501827050767,376.9304663921
206,1990,Australia,11946.838159749874,0.0207590585971773,0.0679190522886154,395.2723128371746
207,1991,Australia,12150.622193108902,0.0216804285831077,0.0654926201406241,408.6048674800948
208,1992,Australia,12505.056583595291,0.0216874608012626,0.0636201933521616,395.47704746973335
209,1993,Australia,12978.98916670354,0.0217802988646311,0.063810935335245,382.5387314390933
210,1994,Australia,13124.148300043676,0.0211659858893427,0.0626089197614196,419.1076230112759
211,1995,Australia,12712.67033723332,0.0202131256804326,0.0600408729628834,426.04782115236645
212,1996,Australia,12556.97203015836,0.0193044006740517,0.0576108164555222,450.97457347789
213,1997,Australia,12782.193084640096,0.0186733439499343,0.0568630161751725,431.6574165114071
214,1998,Australia,13407.932802907875,0.0187112181310612,0.0538823484588714,382.3932259582821
215,1999,Australia,14063.859410726209,0.0188923574072912,0.0520876582935437,413.57518912321046
216,2000,Australia,14025.479721732174,0.0182984191251004,0.0518288400684111,383.010916360935
217,2001,Australia,14580.742667224646,0.0187009387891871,0.0523375585158309,366.92606904917295
218,2002,Australia,15207.686428052984,0.0187396462061393,0.0535459331229544,409.6060100814814
219,2003,Australia,15490.883224287138,0.0184628968871454,0.0528148237608046,505.84230612186735
220,2004,Australia,16129.559957888448,0.0182741076940486,0.0523522482531062,603.381273113955
221,2005,Australia,16692.856640747246,0.0180249267959937,0.0519949728244568,656.018558829933
222,2006,Australia,17584.846978180267,0.0182233092604478,0.0526488701791899,693.743521050931
223,2007,Australia,18665.23762959619,0.0181534224491166,0.052844179267298,821.688705374704
224,2008,Australia,19345.827012045003,0.0179854717158337,0.0512611053421022,873.4807949687834
225,2009,Australia,20803.18742278132,0.0192690895601887,0.0509118286415554,871.6904286245641
226,2010,Australia,21045.17403799812,0.0185679136240993,0.0502028065651807,1047.9662746889403
227,2011,Australia,20753.61928004193,0.017570782279711,0.0483693062657807,1180.1046523798943
228,2012,Australia,20026.33365879984,0.0167101138426002,0.0456898682897517,1144.6289228272638
229,2013,Australia,19852.389359346485,0.0163970803440995,0.0449405802167074,1067.5236546470353
230,2014,Australia,21546.30200196955,0.0177227997605856,0.0481011615177254,1092.7152362266563
231,2015,Australia,23750.69602118611,0.0195091845038356,0.0522468828662938,1004.7720984562698
232,2016,Australia,26008.069440355444,0.0208449685196636,0.0559140157589467,1087.373657421518
233,2017,Australia,25961.552186639223,0.0199920799772859,0.0543686755801194,1126.341770057008
234,2018,Australia,25341.692204520725,0.018901120808278,0.0512892447088512,1077.9910400193507
235,2019,Australia,26028.70430940375,0.018740255612767,0.0481993722865272,1034.7715079286377
236,2020,Australia,27300.894700619407,0.0201178828555605,0.0449779862055202,1070.623321592918
237,2021,Australia,28398.156834073143,0.0197842253315993,0.0463298938582366,1231.3369092685052
238,1988,Austria,3381.970405094624,0.0129918114420184,0.0270275019769791,223.7830757096877
239,1989,Austria,3346.739130282233,0.0123415492526247,0.026357112705783,211.19917461251924
240,1990,Austria,3384.2674407822115,0.0119566026670559,0.0254508548676711,255.3989748208688
241,1991,Austria,3399.638391004581,0.011542171184724,0.0241118378863665,256.5361566957996
242,1992,Austria,3300.781836368448,0.0109921407158668,0.0223902106697411,273.2633535614977
243,1993,Austria,3332.532188929294,0.0111558454134251,0.0205751372251182,268.0075097167172
244,1994,Austria,3347.1807035469715,0.0109445307622702,0.0202627916406395,280.3020699800626
245,1995,Austria,3317.7838973229545,0.010732320520695,0.0190122554987419,320.1294736152918
246,1996,Austria,3286.7162623764943,0.0104968297742271,0.0186221022984657,306.54814774976825
247,1997,Austria,3294.100297188495,0.0104643398189712,0.0194611688864562,269.4886522343504
248,1998,Austria,3303.090987612381,0.0101807286299799,0.018307218301565,268.5979359793853
249,1999,Austria,3370.6122784024988,0.0098024612338221,0.019444742410797,263.86530193374654
250,2000,Austria,3451.9450602297743,0.0098031858008593,0.01931590281051,238.6364355179346
251,2001,Austria,3216.4102143165987,0.009082400407095,0.0176504348593881,220.89383928496665
252,2002,Austria,3159.9282069313163,0.0088352783657308,0.0168193442016184,231.34334169287183
253,2003,Austria,3290.8225178046696,0.0091364031878925,0.0182318437443308,291.3359551031175
254,2004,Austria,3296.6254513965664,0.0089348046624293,0.0165790767717745,326.06572528342645
255,2005,Austria,3225.820458315105,0.0085014257402626,0.0166192198199584,325.43812016527767
256,2006,Austria,3098.418972733048,0.0078581324445919,0.0155982953492681,318.67053258165555
257,2007,Austria,3684.690665762017,0.0090045717278703,0.0182864212363053,420.9547711463509
258,2008,Austria,3570.862190203631,0.0087070512307058,0.017459147315395,449.14068655960006
259,2009,Austria,3334.3784903036712,0.0083337956469292,0.0153927540878486,398.27480468395765
260,2010,Austria,3315.2320858158173,0.0082123271153062,0.0155432460438281,382.6814773007403
261,2011,Austria,3239.857397903214,0.0079089755845203,0.0155406732517693,403.3263790611177
262,2012,Austria,3197.1082223913218,0.0077846425064703,0.015200500024511,374.87972815258746
263,2013,Austria,3073.0053778853407,0.0075082538308457,0.0145374554670874,377.40367477126347
264,2014,Austria,3098.0600220047304,0.0074778009537978,0.0142911231198155,383.6516838633145
265,2015,Austria,2962.3127429374367,0.0069813815205323,0.0136812564395944,307.1102409867253
266,2016,Austria,3188.040405860185,0.0072973769179348,0.0145739672398483,329.93567921613896
267,2017,Austria,3347.432344504159,0.0075732129142571,0.0153610008182721,357.4964426094042
268,2018,Austria,3367.8516588170583,0.0074473835889025,0.0152801954740725,381.0574751960876
269,2019,Austria,3342.032005419189,0.0072751323749579,0.0149798766180286,361.5630023531601
270,2020,Austria,3601.618602530492,0.0083298938502041,0.0145333701301688,399.9132359016757
271,2021,Austria,3598.9421717070654,0.0080212167144765,0.0148138819176024,423.0157166678994
272,1988,Azerbaijan,,,,
273,1989,Azerbaijan,,,,
274,1990,Azerbaijan,,,,
275,1991,Azerbaijan,,,,
276,1992,Azerbaijan,295.9888397020116,0.0240022562120839,,1.4815458647091824
277,1993,Azerbaijan,311.333432148622,0.0500046778569608,,10.224133453569143
278,1994,Azerbaijan,157.2955424063703,0.01946584590385,0.0802325581395348,5.718733349628132
279,1995,Azerbaijan,130.07194239370028,0.0273690130284,0.1467336683417085,8.509320760627345
280,1996,Azerbaijan,114.52848445843752,0.0225423034135488,0.114074074074074,9.114923783505049
281,1997,Azerbaijan,131.6308083537358,0.0232404979925782,0.1150470219435736,11.61830582481784
282,1998,Azerbaijan,150.00591945355686,0.0241235591259714,0.1338709677419354,13.424638125131214
283,1999,Azerbaijan,195.79533871511325,0.0262510993144516,0.1346467391304347,14.931980874886252
284,2000,Azerbaijan,207.65545791039216,0.0226786206311862,0.1242740998838559,14.720626826940794
285,2001,Azerbaijan,234.87863815179648,0.0231206260817217,0.1377802690582959,16.099019161179537
286,2002,Azerbaijan,252.9060782678668,0.0224331377031766,0.0969351389878831,16.90154548064935
287,2003,Azerbaijan,315.4094291684619,0.024263625550969,0.1120155038759689,21.116153845928466
288,2004,Azerbaijan,382.343829781945,0.0262948113760521,0.108567279767667,27.014987764901203
289,2005,Azerbaijan,447.4479213115087,0.0229906967458574,0.1022012779552715,35.66242859037362
290,2006,Azerbaijan,919.199147073939,0.0341775933255806,0.1350832806240776,83.09523216171715
291,2007,Azerbaijan,1436.067377168005,0.0286419491898943,0.1098742053293656,108.50524898035736
292,2008,Azerbaijan,1932.4924531481183,0.0329121114577,0.1046834138996751,182.24883540234924
293,2009,Azerbaijan,1707.056069494835,0.0332542168167071,0.0963695563695563,165.05042323470576
294,2010,Azerbaijan,1616.363458904602,0.027910043565289,0.087333284208975,163.4863522553199
295,2011,Azerbaijan,3075.4651892334978,0.0467013555547022,0.1384348321001707,336.76853223359507
296,2012,Azerbaijan,3190.6484250209573,0.0465861825196324,0.1271589549262066,350.36401647386793
297,2013,Azerbaijan,3227.4080873879125,0.0454092330961465,0.1201947136163049,358.8251636864612
298,2014,Azerbaijan,3239.2338241011507,0.0455501312398223,0.1252259386937482,360.5280787991607
299,2015,Azerbaijan,3442.4490339131007,0.0546487679293858,0.1412855377008652,301.418620196628
300,2016,Azerbaijan,2296.070230993992,0.0368852730317814,0.1041738724000934,143.48491245463455
301,2017,Azerbaijan,1675.9374788227103,0.037563017324966,0.1058364044223682,155.2930007408687
302,2018,Azerbaijan,1763.1834728155757,0.0356240123412696,0.1070979165881776,168.0579367425362
303,2019,Azerbaijan,1905.408655362296,0.0387341170306515,0.1190228062226249,184.53774822030724
304,2020,Azerbaijan,2237.7647058823527,0.0539049499415887,0.1303388494877856,220.7086207596758
305,2021,Azerbaijan,2589.243013561232,0.0527005900628496,0.1419384729429207,264.42105747708456
306,1988,Bahrain,314.2179903935483,0.0560304575820702,,446.1221688400824
307,1989,Bahrain,325.49524139661656,0.0564466166448681,,453.3993895696024
308,1990,Bahrain,353.9616139977262,0.0528479154433352,0.1428571428571428,482.58407687028136
309,1991,Bahrain,386.40384347166633,0.0570375064815348,0.169811320754717,516.270337922403
310,1992,Bahrain,410.5301919360726,0.0587807199238649,0.1674641148325359,533.9489849884056
311,1993,Bahrain,400.365363351809,0.0536985516733491,0.1677316293929712,520.9987297554779
312,1994,Bahrain,404.6852754981157,0.0511130218782841,0.1628614916286149,517.4081237911025
313,1995,Bahrain,419.808432321377,0.0518323179048831,0.1709145427286356,537.5735626980535
314,1996,Bahrain,447.61035968349273,0.0527393976376236,0.1929824561403508,555.8005365082864
315,1997,Bahrain,436.9848487670743,0.0506848741255812,0.1361079865016872,540.8546397282317
316,1998,Bahrain,449.4666312604776,0.0533310395251817,0.175886524822695,537.1127590269596
317,1999,Bahrain,503.0655443710159,0.0550362154366541,0.1701863354037266,571.9963926650856
318,2000,Bahrain,499.24043278196297,0.0396167096884852,0.1715374841168996,539.9136138217884
319,2001,Bahrain,524.0592103947068,0.0414808163198997,0.1464435146443514,533.43900506005
320,2002,Bahrain,628.2409585346901,0.0461110660635053,0.1452173913043478,604.2842668982487
321,2003,Bahrain,718.3648052808365,0.0465883280302627,0.1591468416735028,662.3330511020677
322,2004,Bahrain,723.5573936940447,0.0404492884796012,0.15527950310559,640.8613176108689
323,2005,Bahrain,680.630375177318,0.0321438109533007,0.1290106951871657,577.3879328913673
324,2006,Bahrain,746.4052499203875,0.0310294772848129,0.1286650774731823,599.3759161373429
325,2007,Bahrain,808.9112435543738,0.0295699023434392,0.1266247379454926,620.2250883101947
326,2008,Bahrain,875.4729869608237,0.0280016136873791,0.1184164479440069,645.6922049422765
327,2009,Bahrain,979.7131678884328,0.0361053524967651,0.1408412483039348,698.8957716132508
328,2010,Bahrain,977.833071967584,0.0327775594216089,0.1011813537675606,679.1451643321275
329,2011,Bahrain,1203.9055714555627,0.0359149722735674,0.1145299145299145,808.6937701861285
330,2012,Bahrain,1340.1226314525254,0.0384457370207797,0.1188820540251404,909.3698854337152
331,2013,Bahrain,1478.8329852619545,0.0414145178849907,0.1247108048240216,1024.7957285009302
332,2014,Bahrain,1577.1867767337048,0.0441858946070426,0.1555088309503784,1104.2409861128806
333,2015,Bahrain,1513.7987122651568,0.0463287736546327,0.1272471250880075,1051.0359158861113
334,2016,Bahrain,1537.4166128106413,0.0467144086727826,0.1335096698113207,1055.7745964011815
335,2017,Bahrain,1543.7531813790663,0.0433877531046372,0.1342730661696179,1025.9121592753995
336,2018,Bahrain,1507.2622913151115,0.0407429482993765,0.1203940473695242,973.651736436001
337,2019,Bahrain,1521.6095591491026,0.0405505441686102,0.1233312276268688,949.2460487248304
338,2020,Bahrain,1404.787234042553,0.0407439737467416,0.1147761842677097,825.3744030802311
339,2021,Bahrain,1367.7031440382098,0.035582596742095,0.1158340767172167,790.2648619699107
